station_name,label
ABANDO,0
AMETZOLA,1
ANSELMO CLAVE,0
ARANGOITI,1
AREILTZA,2
ARRIAGA,2
ASKATASUNA,1
ASTILLERO,1
AYUNTAMIENTO,2
BASARRATE,1
BLAS OTERO,2
BOLUETA,2
CORAZÓN MARIA,2
EGAÑA,2
EGUILLOR,0
EPALZA,2
ESKURTZE,1
ESTRADA CALEROS,1
ETXEBARRIA,1
GABRIEL ARESTI,1
HEROS,0
IBAIZABAL,1
INDAUTXU,2
KARMELO,1
LEIZAOLA,0
LEVANTE,1
MERCADO RIBERA,2
MOYUA,0
OLABEAGA,1
OTXARKOAGA,1
PLAZA ENCARNACIÓN,1
POLIDEPORTIVO ZORROZA,2
RAMÓN RUBIAL,0
REKALDE,1
SABINO ARANA,2
SAN NICOLAS,2
SAN PEDRO,2
SARRIKO,1
TERMIBUS,0
ZORROZAURRE,2
