station_name,label
"Abbey Orchard Street, Westminster",0
"Abbotsbury Road, Holland Park",1
"Aberdeen Place, St. John's Wood",2
"Aberfeldy Street, Poplar",1
"Abingdon Green, Westminster",0
"Abingdon Villas, Kensington",1
"Abyssinia Close, Clapham Junction",1
"Ackroyd Drive, Bow",1
"Ada Street, Hackney Central",1
"Addison Road, Holland Park",1
"Aintree Street, Fulham",1
"Albany Street, The Regent's Park",0
"Albert Bridge Road, Battersea Park",1
"Albert Embankment, Vauxhall",1
"Albert Gardens, Stepney",1
"Albert Gate, Hyde Park",2
"Albert Square, Stockwell",1
"Alderney Street, Pimlico",1
"Aldersgate Street, Barbican",1
"Alfred Place, Bloomsbury",1
"Alfreda Street, Battersea Park",1
"All Saints Church, Portobello",1
"All Saints' Road, Portobello",1
"Allington Street, Victoria",1
"Alma Road, Wandsworth",1
"Alpha Grove, Millwall",1
"Ampton Street , Clerkenwell",1
"Ansell House, Stepney",1
"Antill Road, Mile End",1
"Aquatic Centre, Queen Elizabeth Olympic Park",1
"Archbishop's Park, Waterloo",0
"Argyll Road, Kensington",1
"Arlington Road, Camden Town",1
"Arundel Street, Temple",0
"Ashley Crescent, Battersea",1
"Ashley Place, Victoria",1
"Ashmole Estate, Oval",1
"Aston Street, Stepney",1
"Austin Road, Battersea Park",1
"Aylward Street, Stepney",1
"BBC White City, White City",1
"Baker Street, Marylebone",2
"Baldwin Street, St. Luke's",2
"Bancroft Road, Bethnal Green",1
"Bank of England Museum, Bank",2
"Bankside Mix, Bankside",0
"Barbican Centre, Barbican",1
"Barons Court Station, West Kensington",1
"Bath Street, St. Luke's",1
"Battersea Church Road, Battersea",1
"Battersea Park Road, Nine Elms",1
"Battersea Power Station, Battersea Park",0
"Bayley Street , Bloomsbury",0
"Baylis Road, Waterloo",1
"Bayswater Road, Hyde Park",1
"Beaumont Street, Marylebone",0
"Bedford Way, Bloomsbury",1
"Belford House, Haggerston",1
"Belgrave Road, Victoria",2
"Belgrave Square, Belgravia",0
"Belgrove Street , King's Cross",0
"Bell Lane, Liverpool Street",1
"Bell Street , Marylebone",0
"Belvedere Road 1, South Bank",1
"Belvedere Road 2, South Bank",1
"Bermondsey Street, Bermondsey",1
"Berry Street, Clerkenwell",0
"Beryl Road, Hammersmith",1
"Bethnal Green Garden, Bethnal Green",2
"Bethnal Green Road, Shoreditch",1
"Bevington Road West, North Kensington",1
"Binfield Road, Stockwell",1
"Birkenhead Street, King's Cross",1
"Bishop's Avenue, Fulham",1
"Bishop's Bridge Road East, Bayswater",1
"Bishop's Bridge Road West, Bayswater",1
"Black Lion Gate, Kensington Gardens",1
"Black Prince Road, Vauxhall",1
"Blackfriars Road, Southwark",1
"Blackfriars Station, St. Paul's",1
"Blenheim Crescent, Ladbroke Grove",1
"Blythe Road West, Shepherd's Bush",1
"Bolsover Street, Fitzrovia",0
"Bonner Gate, Victoria Park",1
"Bonny Street, Camden Town",1
"Borough High Street, The Borough",1
"Borough Road, Elephant & Castle",1
"Boston Place, Marylebone",1
"Bourne Street, Belgravia",1
"Bouverie Street, Temple",0
"Bow Church Station, Bow",1
"Bow Road Station, Bow",1
"Bradmead, Battersea Park",1
"Braham Street, Aldgate",1
"Bramham Gardens, Earl's Court",1
"Breams Buildings, Holborn",0
"Brick Lane Market, Shoreditch",0
"Bricklayers Arms, Borough",1
"Bridge Avenue, Hammersmith",1
"British Museum, Bloomsbury",2
"Broadcasting House, Marylebone",0
"Broadley Terrace, Marylebone",1
"Broadwick Street, Soho",0
"Bromley High Street, Bow",1
"Brook Green South, Brook Green",1
"Broomhouse Lane, Parsons Green",1
"Brunswick Square, Bloomsbury",0
"Brushfield Street, Liverpool Street",0
"Bruton Street, Mayfair",0
"Buckingham Gate, Westminster",0
"Bunhill Row, Moorgate",0
"Burdett Road, Mile End",1
"Bury Place, Holborn",0
"Butler Place, Westminster",0
"Buxton Street 1, Shoreditch",1
"Cadogan Close, Victoria Park",1
"Cadogan Gardens, Chelsea",2
"Cadogan Place, Knightsbridge",0
"Caldwell Street, Stockwell",1
"Calshot Street , King's Cross",1
"Campden Hill Road, Notting Hill",1
"Canton Street, Poplar",1
"Cantrell Road, Bow",1
"Carey Street, Holborn",2
"Carnegie Street, King's Cross",1
"Cartwright Gardens , Bloomsbury",1
"Castlehaven Road, Camden Town",1
"Central House, Aldgate",1
"Cephas Street, Bethnal Green",1
"Chadwell Street, Angel",1
"Chancery Lane, Holborn",0
"Chapel Place, Marylebone",0
"Charing Cross Hospital, Hammersmith",0
"Charlbert Street, St. John's Wood",1
"Charles II Street, West End",0
"Charlotte Street, Fitzrovia",2
"Charlotte Terrace, Angel",1
"Cheapside, Bank",0
"Chelsea Bridge, Pimlico",1
"Chelsea Green, Chelsea",1
"Chepstow Villas, Notting Hill",2
"Cheshire Street, Bethnal Green",1
"Chesilton Road, Fulham",1
"Chrisp Street Market, Poplar",2
"Christian Street, Whitechapel",1
"Christopher Street, Liverpool Street",0
"City Road, Angel",1
"Clapham Common North Side, Clapham Common",1
"Clapham Road, Lingham Street, Stockwell",1
"Claremont Square, Angel",1
"Clarence Walk, Stockwell",1
"Clarendon Road, Avondale",1
"Clarges Street, Mayfair",0
"Clarkson Street, Bethnal Green",1
"Claverton Street, Pimlico",1
"Cleaver Street, Kennington",1
"Clerkenwell Green, Clerkenwell",1
"Cleveland Gardens, Bayswater",1
