station_name,label
Agustín de Betancourt,2
Alberto Alcocer,2
Alcalá,2
Alcalá-Ventas,2
Alcántara,2
Almadén,2
Alonso Martínez,1
Altamirano,0
Antonio Maura,1
Antón Martín,0
Arcipreste de Hita A,2
Arcipreste de Hita B,2
Atocha A,2
Atocha B,2
Augusto Figueroa,0
Avenida Donostiarra,0
Avenida de América 1,0
Avenida de América 2,2
Avenida de los Toreros,0
Ayala,1
Banco de España A,1
Barceló,2
Batalla del Salado,0
Beata,0
Biblioteca Nacional,1
Bravo Murillo 44,2
Calle Mayor,2
Canal,2
Carlos Cambronero,0
Carretas,1
Casa Encendida,0
Castellana,1
Castellana 106,2
Castellana 164,2
Castellana 42,1
Castellana frente a Hermanos Pinzón,1
Castelló,2
Cea Bermúdez,0
Cibeles,1
Claudio Coello,1
Colegio Arquitectos,0
Colombia,2
Columela,1
Colón A,1
Colón B,1
Conde Duque,0
Conde Peñalver,2
Conde de Casal,0
Conde de Romanones,0
Cuatro Caminos 2,0
Cuesta de Moyano,2
Delicias,0
Desengaño,2
Diego de León 52,2
Diego de león,0
Doce de Octubre,0
Doctor Arce 45,2
Doctor Esquerdo-Hermosilla,2
Embajada de Italia,1
Embajadores 1,0
Embajadores 2,0
Embajadores-Cáceres,0
Entrada Matadero,0
Espalter,1
Estrecho,0
Fernando el Católico,0
Ferraz,2
Fuencarral,2
General Martínez Campos ,2
General Pardiñas,2
General Perón 1,0
General Perón con Poeta Joan Maragall,2
General Álvarez de Castro,0
Glorieta de los Cuatro Caminos,0
Guzmán el Bueno,2
Hortaleza,2
Huertas,2
Ibiza,2
Jacinto Benavente,2
Jacometrezo,1
Jaime el Conquistador,0
Jesús y María,0
Jorge Juan,0
José Abascal,0
José Gutiérrez Abascal ,1
Juan Bravo 50,2
Juan Martín,2
Junta Municipal Retiro,0
Legazpi,2
Madrid Río-Yeserías,0
Malasaña,2
Manuel Silvela,0
Marqués de Cubas,1
Marqués de Salamanca,1
Marqués de Zafra,0
Marqués de la Ensenada,1
María Francisca 1,2
Menéndez Pelayo,0
Metro Pirámides,0
Metro Tetuán,0
Miguel Moya,1
Moncloa,2
Museo Reina Sofía,2
Mártires Concepcionistas,2
Méndez Álvaro,2
Narváez,2
Niño Jesús,0
O'Donnell,2
Orense 12,2
Orense 36,2
Ortega y Gasset,1
Ortega y Gasset 87,0
Palacio de Deportes,2
Palacio de Oriente,2
Palos de la Frontera,0
Parque Berlín,2
Parque Roma,2
Parque Santander,2
Paseo de Moret,2
Paseo de la Castellana con Raimundo Fernández,1
Paseo de la Esperanza,0
Paseo de la Florida,2
Paseo de la Habana 42,2
Paseo de la Habana 63,2
Paseo de las Delicias,0
Pedro Bosch,0
Pintor Rosales,2
Pirámides,0
Plaza Conde Suchil,0
Plaza San Francisco,0
Plaza de Castilla,2
Plaza de Castilla 2,2
Plaza de Celenque A,2
Plaza de Celenque B,2
Plaza de Colón,1
Plaza de España A,2
Plaza de España B,2
Plaza de Felipe II,2
Plaza de Juan Pujol,0
Plaza de Lavapiés,0
Plaza de Nelson Mandela,0
Plaza de Pedro Zerolo,1
Plaza de Ramales,2
Plaza de San Ildefonso,0
Plaza de San Juan de la Cruz,2
Plaza de San Miguel,2
Plaza de Santa Ana,0
Plaza de la Cebada,0
Plaza de la Independencia,1
Plaza de la Provincia,2
Plaza de la República Argentina,1
Plaza de las Salesas,1
Plaza de los Astros,0
Plaza de los Carros,0
Plaza del Carmen ,2
Plaza del Cordón,2
Prim,1
Prosperidad,0
Príncipe de Vergara,2
Puente Praga,0
Puente de Vallecas,0
Puente de Ventas,2
Puerta de Granada,0
Puerta de Madrid,2
Puerta de Mariano de Cavia,0
Puerta de Toledo,0
Puerta del Doce de Octubre,0
Puerta del Pacífico ,0
Puerta del Sol A,1
Puerta del Sol B,2
Puerta del Ángel Caído,1
Pº Castellana - Glorieta de Emilio Castelar,1
Pío Baroja,0
Quevedo,0
Quinta Fuente del Berro,0
Quintana,2
Raimundo Fernández,0
Remonta,0
Retiro-Ibiza,0
Ribera de Curtidores,0
Ronda de Atocha,2
Rubén Darío,1
Sainz de Baranda,2
San Andrés,0
San Bernardo,2
San Francisco de Sales,2
San Germán,0
San Hermenegildo,0
San Quintín,2
San Vicente Ferrer,0
Santa Cruz del Marcenado,2
Santa Engracia 127,2
Santa Engracia 14,2
Santa Isabel,0
Santa María de la Cabeza,0
Santo Domingo,1
Segovia 26,0
Segovia 45,0
Serrano,1
Serrano 210,2
Sevilla,1
Sor Ángela de la Cruz,2
Tres Cruces,2
Valderribas,0
Velázquez,1
Velázquez 130,1
Velázquez-Diego de León,1
Ventas,0
Ventura Rodríguez,2
Villanueva,1
