station_name,label
1 Ave & E 110 St,2
1 Ave & E 16 St,1
1 Ave & E 18 St,1
1 Ave & E 30 St,0
1 Ave & E 44 St,0
1 Ave & E 5 St,1
1 Ave & E 62 St,2
1 Ave & E 68 St,0
1 Ave & E 78 St,1
1 Ave & E 94 St,2
1 Pl & Clinton St,2
10 Ave & W 28 St,0
10 St & 2 Ave,2
10 St & 5 Ave,2
10 St & 7 Ave,2
11 Ave & W 27 St,0
11 Ave & W 41 St,1
11 Ave & W 59 St,1
11 St & 35 Ave,2
11 St & 43 Ave,2
12 Ave & W 125 St,2
12 Ave & W 40 St,1
12 St & 4 Ave,2
14 St & 5 Ave,2
14 St & 7 Ave,1
19 St & 24 Ave,2
2 Av & E 125 St,2
2 Ave & 36 St,2
2 Ave & 36 St - Citi Bike HQ at Industry City,2
2 Ave & E 104 St,2
2 Ave & E 122 St,2
2 Ave & E 125 St,2
2 Ave & E 31 St,2
2 Ave & E 72 St,2
2 Ave & E 96 St,2
2 Ave & E 99 St,2
21 St & 31 Dr,2
21 St & 36 Ave,2
21 St & 38 Ave,2
21 St & 43 Ave,2
21 St & Hoyt Ave S,2
21 St & Queens Plaza North,2
23 Ave & 27 St,2
24 Ave & 26 St,1
24 Ave & 29 St,2
24 St & 41 Ave,2
27 Ave & 3 St,2
27 Ave & 9 St,1
27 St & Hunter St,2
28 Ave & 35 St,1
28 Ave & 44 St,1
28 St & 36 Ave,1
28 St & 41 Ave,0
3 Ave & 14 St,2
3 Ave & Carroll St,2
3 Ave & E 100 St,2
3 Ave & E 112 St,2
3 Ave & E 62 St,2
3 Ave & E 71 St,2
3 Ave & E 72 St,1
3 Ave & Schermerhorn St,2
3 St & 3 Ave,2
3 St & 7 Ave,1
3 St & Hoyt St,2
3 St & Prospect Park West,1
30 Ave & 21 St,2
31 Ave & 14 St,2
31 Ave & 30 St,1
31 Ave & 34 St,1
31 Ave & Crescent St,1
31 Ave & Steinway St,2
31 St & 23 Ave,2
31 St & Astoria Blvd,0
31 St & Broadway,2
31 St & Hoyt Ave N,2
31 St & Newtown Ave,2
31 St & Northern Blvd,2
31 St & Thomson Ave,2
34 Ave & 13 St,2
34 Ave & 21 St,2
34 Ave & 38 St,2
34 St & 35 Ave,1
35 Ave & 10 St,2
35 Ave & 37 St,2
35 St & 34 Ave,2
35 St & Broadway,2
36 Ave & 10 St,2
36 Ave & 31 St,2
37 Ave & 35 St,2
37 St & 24 Ave,1
38 Ave & 29 St,2
39 St & 2 Ave,2
39 St & 2 Ave - Citi Bike HQ at Industry City,2
4 Ave & 9 St,2
4 Ave & E 12 St,2
40 Ave & 9 St,2
40 Ave & Crescent St,2
43 St & Broadway,1
44 Dr & 21 St,2
44 Dr & Jackson Ave,2
45 Rd & 11 St,2
46 Ave & 5 St,1
47 Ave & 31 St,2
47 Ave & Skillman Ave,2
48 Ave & 30 Pl,2
48 Ave & 5 St,2
49 Ave & 21 St,2
5 Av & E 135 St,1
5 Ave & 3 St,2
5 Ave & E 103 St,0
5 Ave & E 126 St,2
5 Ave & E 135 St,2
5 Ave & E 29 St,0
5 Ave & E 63 St,2
5 Ave & E 73 St,0
5 Ave & E 78 St,2
5 Ave & E 88 St,2
5 Ave & E 93 St,2
5 Ave & W 131 St,2
5 Corners Library,2
5 St & 51 Ave,2
5 St & 6 Ave,1
6 Ave & 12 St,2
6 Ave & 9 St,2
6 Ave & Broome St,0
6 Ave & Canal St,0
6 Ave & W 33 St,1
6 Ave & W 34 St,2
6 St & 7 Ave,0
7 Ave & Central Park South,0
7 Ave & Park Pl,0
7 St & 3 Ave,2
7 St & 5 Ave,2
8 Ave & W 31 St,2
8 Ave & W 33 St,2
8 Ave & W 52 St,2
9 Ave & W 18 St,2
9 Ave & W 22 St,1
9 Ave & W 28 St,1
9 Ave & W 45 St,1
9 St & 44 Rd,2
Adam Clayton Powell Blvd & W 115 St,2
Adam Clayton Powell Blvd & W 118 St,2
Adam Clayton Powell Blvd & W 123 St,2
Adam Clayton Powell Blvd & W 126 St,2
Adam Clayton Powell Blvd & W 130 St,1
Adelphi St & Myrtle Ave,1
Albany Ave & Fulton St,2
Allen St & Hester St,1
Allen St & Rivington St,1
Allen St & Stanton St,1
Amsterdam Ave & W 119 St,0
Amsterdam Ave & W 125 St,2
Amsterdam Ave & W 131 St,1
Amsterdam Ave & W 136 St,1
Amsterdam Ave & W 66 St,1
Amsterdam Ave & W 73 St,2
Amsterdam Ave & W 79 St,1
Amsterdam Ave & W 82 St,1
Astor Place,1
Astoria Park S & Shore Blvd,2
Atlantic Ave & Fort Greene Pl,2
Atlantic Ave & Furman St,2
Avenue C & E 18 St,1
Avenue D & E 12 St,1
Avenue D & E 3 St,1
Avenue D & E 8 St,1
Baldwin at Montgomery,1
Baltic St & 5 Ave,2
Bank St & Hudson St,1
Bank St & Washington St,1
Banker St & Meserole Ave,2
Barclay St & Church St,2
Barrow St & Hudson St,1
Bayard St & Baxter St,2
Bayard St & Leonard St,2
Beaver St & Fayette St,2
Bedford Ave & Bergen St,1
Bedford Ave & Montgomery St,2
Bedford Ave & Nassau Ave,2
Bedford Ave & S 9 St,1
Bergen Ave,1
Bergen St & Flatbush Ave,2
Bergen St & Smith St,2
Bergen St & Vanderbilt Ave,1
Berkeley Pl & 6 Ave,2
Berkeley Pl & 7 Ave,2
Berry St & N 8 St,2
Bialystoker Pl & Delancey St,1
Boerum St & Broadway,2
Bond St & Bergen St,2
Bond St & Fulton St,2
Broad St & Bridge St,0
Broadway & 12 St,2
Broadway & Battery Pl,2
Broadway & Berry St,1
Broadway & E 14 St,0
Broadway & E 22 St,0
Broadway & Furman Ave,2
Broadway & Hancock St,2
Broadway & Kosciuszko St,2
Broadway & Madison St,2
Broadway & Moylan Pl,2
Broadway & Roebling St,0
Broadway & W 122 St,2
Broadway & W 25 St,0
Broadway & W 29 St,0
Broadway & W 36 St,2
Broadway & W 37 St,0
Broadway & W 38 St,0
Broadway & W 41 St,0
Broadway & W 49 St,0
Broadway & W 51 St,0
Broadway & W 53 St,0
Broadway & W 56 St,0
Broadway & W 60 St,2
Broadway & Whipple St,2
Brook Ave & E 141 St,1
Brooklyn Bridge Park - Pier 2,2
Brunswick & 6th,1
Brunswick St,1
Bus Slip & State St,2
Bushwick Ave & Dekalb Ave,2
Bushwick Ave & Forrest St,2
Bushwick Ave & Furman Ave,2
Bushwick Ave & Harman St,2
Bushwick Ave & Linden St,1
Bushwick Ave & McKibbin St,2
Bushwick Ave & Powers St,2
Bushwick Ave & Stagg St,2
Butler St & Court St,2
Cadman Plaza E & Johnson St,2
Cadman Plaza E & Red Cross Pl,0
Calyer St & Jewel St,2
Cambridge Pl & Gates Ave,1
Canal St & Rutgers St,1
Carlton Ave & Dean St,2
Carlton Ave & Flushing Ave,2
Carlton Ave & Park Ave,2
Carmine St & 6 Ave,2
Carroll St & 5 Ave,2
Carroll St & 6 Ave,1
Carroll St & Bond St,2
Carroll St & Columbia St,2
Carroll St & Franklin Ave,2
Carroll St & Smith St,2
Carroll St & Washington Ave,2
Cathedral Pkwy & Broadway,1
Catherine St & Monroe St,1
Cedar St & Evergreen Ave,2
Cedar St & Myrtle Ave,2
Center Blvd & 48 Ave,2
Center Blvd & 51 Ave,2
Central Ave & Covert St,2
Central Ave & Decatur St,2
Central Ave & Flushing Ave,2
Central Ave & Himrod St,2
Central Ave & Melrose St,2
Central Ave & Starr Street,1
Central Ave & Weirfield St,1
Central Ave & Woodbine St,2
Central Park North & Adam Clayton Powell Blvd,2
Central Park S & 6 Ave,0
Central Park W & W 96 St,1
Central Park West & W 100 St,2
Central Park West & W 102 St,1
Central Park West & W 68 St,2
Central Park West & W 72 St,2
Central Park West & W 76 St,2
Central Park West & W 85 St,1
Centre St & Chambers St,0
Centre St & Seneca Ave,2
Centre St & Worth St,0
Cherry St,1
Christ Hospital,2
Christopher St & Greenwich St,1
City Hall,2
Clark St & Henry St,2
Classon Ave & St Marks Ave,1
Clermont Ave & Lafayette Ave,1
Clermont Ave & Park Ave,1
Cleveland Pl & Spring St,0
Cliff St & Fulton St,2
Clinton Ave & Flushing Ave,2
Clinton Ave & Myrtle Ave,1
Clinton St & 4 Place,1
Clinton St & Centre St,2
Clinton St & Grand St,1
Clinton St & Joralemon St,0
Clinton St & Union St,1
Coffey St & Conover St,2
Columbia Heights & Cranberry St,2
Columbia St & Degraw St,2
Columbia St & Kane St,2
Columbia St & Lorraine St,2
Columbia St & Rivington St,1
