station_name,label
 Jean Bleuzen - Square du 11 Novembre,2
 Place Léon Gambetta,0
11 Novembre 1918 - 8 Mai 1945,0
18 juin 1940 - Buzenval,0
Abbeville - Faubourg Poissonnière,2
Abbé Carton - Plantes,2
Abbé Groult - Convention,2
Aboukir - Alexandrie,0
Adolphe Lalyre - Armand Silvestre,2
Adolphe Pinard - Victor Hugo,2
Alexander Fleming - Belvédère,2
Alexandre Dumas - Place de la Réunion,2
Alexandre Dumas - Voltaire,2
Alexandre Parodi - Quai de Valmy,2
Alfred Roll - Berthier,2
Alfred de Vigny - Place du Général Brocard,1
Alger - Rivoli,1
Alibert - Jemmapes,2
Alouettes - Maréchal de Lattre de Tassigny,0
Alésia - Suisses,2
Amaury Duval - Gabriel Péri,2
Ambroise Rendu - Porte Brunet,2
Amelot - Saint-Sébastien,0
Amédée Huon - Fort d'Ivry,0
Anatole France - Jean Lolive,0
Anatole France - Louise Michel,0
Anatole France - President Roosevelt,2
Ancien Canal - Hélène Brion,2
Ancienne Mairie - André Morizet,0
André Karman - République,2
André Maurois - Joseph et Marie Hackin,0
André Mazet - Saint-André des Arts,2
André Theuriet - Blagis,0
Aqueduc - Villette,2
Arago - Glacière,2
Archives - Pastourelle,0
Archives - Rivoli,1
Arcole - Notre-Dame,1
Argenson - Château,1
Argenteuil - Voltaire,2
Aristide Briand - Gare de Bagneux,0
Aristide Briand - Place de la Résistance,0
Arsonval - Falguière,2
Arsène Houssaye - Champs-Elysées,1
Arthur Auger - Jean Jaurès,0
Arthur Ranc - Hôpital Bichat,2
Artois - Berri,1
Assas - Luxembourg,0
Assas - Rennes,1
Assas - Vaugirard,1
Assemblée Nationale,1
Athènes - Clichy,0
Aubervilliers - Curial,2
Auguste Blanqui - Corvisart,0
Auguste Blanqui - Glacière,0
Auguste Cain - Jean Moulin,2
Averroès - Aimé Césaire,0
Bachaumont - Montmartre,1
Bagnolet - Orteaux,2
Bagnolet - Place Saint-Blaise,2
Balard - Montagne de la Fage,0
Balzac - Champs Elysées,1
Balzac - Olympes de Gouges,0
Bara - Henri Farman,1
Barbès - Monique Maunoury,2
Bargue -  Dutot,2
Bas - Gabriel Péri,0
Bassano -  Iéna,1
Bastille - Beaumarchais,1
Bastille - Biscornet,1
Bastille - Quai de la Rapée,0
Batignolles - Abel Truchet,2
Batignolles - Beudant,2
Batignolles - Place de Clichy,2
Batignolles - Rome,0
Bayen - Pereire,0
